45 19 19
45 13 13
45 6 17
45 13 6
45 17 13
45 7 7
45 15 15
45 17 12
45 6 6
45 1 1
45 6 6
45 17 8
45 9 9
45 6 6
18 16 16
18 9 17
18 17 17
18 14 13
18 6 16
18 16 16
18 16 16
18 17 9
18 17 16
18 19 19
12 17 17
12 10 10
12 9 16
12 16 16
12 6 11
12 8 8
12 5 12
12 6 19
12 17 16
31 17 17
31 17 17
31 1 2
31 17 17
31 17 17
31 5 18
31 9 17
31 4 8
31 3 4
31 16 20
31 5 4
31 5 19
31 20 20
14 9 14
14 10 12
14 17 17
14 16 16
14 16 17
14 14 14
14 2 15
14 11 9
14 18 10
14 11 11
14 10 10
14 2 2
7 20 16
7 8 17
7 20 19
7 9 9
7 2 3
7 17 16
7 19 4
7 17 17
7 4 4
7 7 7
7 20 20
7 17 16
7 20 10
7 9 7
7 12 12
7 5 16
7 12 12
7 17 16
7 16 16
7 7 9
7 17 17
7 17 17
7 6 12
7 16 7
7 5 5
36 16 16
36 16 16
36 11 12
36 17 17
36 19 19
36 2 2
36 3 13
36 8 19
36 11 20
36 14 6
36 19 2
40 16 16
40 16 9
40 19 19
40 16 17
40 15 10
40 20 20
